,open,high,low,close,volume,sma_20,ema_20,sma_50,ema_50,sma_200,ema_200,rsi,macd,macd_signal,macd_diff,bb_upper,bb_lower,bb_middle,stoch_k,stoch_d,stoch_j,adx,obv,ichimoku_a,ichimoku_b,rolling_std,fibo_0,fibo_0.382,fibo_0.5,fibo_0.618,fibo_1,atr,mfi
2021-12-21,2.87,3.1,2.84,3.0,903800,3.1045,3.0771309857945015,3.0017999999999994,2.9657153487594052,2.444193,2.4552661486891014,48.18756731470237,-0.031208036652593307,0.0026901474411157996,-0.03389818409370911,3.5102326706096147,2.698767329390385,3.1045,29.017548708028183,24.075808417079333,38.90102928992588,15.909360570160658,58254857,3.17,2.8709,0.2081364683895807,0.1178,1.9064003999999999,2.4589,3.0113996,4.8,0.29461780300157486,45.46917819842447
2021-12-22,2.93,3.09,2.91,3.04,662404,3.1079999999999997,3.0735947014331204,3.0234000000000005,2.9686284723374676,2.447493,2.461084395965827,49.201718041794194,-0.02918148021136746,-0.0036841780893808527,-0.025497302121986608,3.5102238182902776,2.7057761817097217,3.1079999999999997,39.06249999999999,25.985530639301555,65.21643872139686,14.947287964186781,58917261,3.14,2.8709,0.20633646512942883,0.1178,1.9064003999999999,2.4589,3.0113996,4.8,0.2864308170728909,51.40211155443799
2021-12-23,2.96,3.08,2.96,3.02,538152,3.1175,3.0684904441537757,3.0441999999999996,2.970643042049724,2.450243,2.466645745259699,48.688561167675175,-0.02885661143022089,-0.008718664757548861,-0.02013794667267203,3.5015768152336335,2.733423184766367,3.1175,46.0,38.026682902676036,61.94663419464793,14.053934830068181,58379109,3.14,2.88,0.19702724898375876,0.1178,1.9064003999999999,2.4589,3.0113996,4.8,0.27454290156768446,49.393711895826264
2021-12-27,2.99,3.18,2.96,3.05,735600,3.121,3.0667294494724637,3.0636,2.9737550796164016,2.453393,2.472450265207364,49.538727733444205,-0.02588007194151354,-0.012150946194341799,-0.01372912574717174,3.5012578072834413,2.7407421927165587,3.121,51.99999999999996,45.687499999999964,64.62499999999996,13.443473033107848,59114709,3.14,2.8837,0.19506813924208954,0.1178,1.9064003999999999,2.4589,3.0113996,4.8,0.27064698002713555,59.47748938683845
2021-12-28,3.11,3.1137,2.91,2.95,969138,3.096,3.0556123590465147,3.0809999999999995,2.972823507866739,2.454893,2.477202003862017,46.75769348659274,-0.031230303715984675,-0.015966817698670376,-0.015263486017314299,3.451381485167714,2.740618514832286,3.096,32.00000000000003,43.33333333333331,9.33333333333347,12.574403455411389,58145571,3.14,2.8837,0.18230685525697296,0.1178,1.9064003999999999,2.4589,3.0113996,4.8,0.26586505288234014,51.075015912047746
2021-12-29,2.95,2.98,2.72,2.75,1405492,3.057,3.026506420089704,3.0938,2.9640853310876514,2.4556430000000002,2.479916411783788,41.713903455507875,-0.05102059580463303,-0.022977573319862908,-0.02804302248477012,3.3833188624643222,2.7306811375356776,3.057,5.26315789473681,29.754385964912245,-43.71929824561406,12.604848851404812,56740079,3.105,2.91,0.16739804438272382,0.1178,1.9064003999999999,2.4589,3.0113996,4.8,0.26544612053360156,43.174199618448206
2021-12-30,2.74,2.96,2.74,2.87,981264,3.027,3.0116010467478276,3.1094,2.960395710260685,2.456293,2.483797840522258,45.51179332990903,-0.056371729540131366,-0.0296564045639166,-0.026715324976214764,3.3022526112501183,2.751747388749882,3.027,26.3157894736842,21.192982456140324,36.56140350877195,12.633119576255847,57721343,3.0775,2.935,0.1412016102487659,0.1178,1.9064003999999999,2.4589,3.0113996,4.8,0.26219996906691573,49.54174551387253
2021-12-31,2.74,2.9,2.73,2.76,646596,3.004,2.987639042295654,3.116,2.9525370549563448,2.457043,2.4865461207160666,42.761217748268,-0.06869672913871083,-0.03746446947887545,-0.03123225965983538,3.287647668772384,2.720352331227616,3.004,7.017543859649053,12.865497076023333,-4.6783625730995055,12.71238796670541,57074747,3.0775,2.94,0.14550818388994313,0.1178,1.9064003999999999,2.4589,3.0113996,4.8,0.25561425699070744,49.97014843778944
2022-01-03,2.82,2.88,2.69,2.85,1105021,2.9795,2.97453056207702,3.1240000000000006,2.9485159939776646,2.458443,2.4901625772263545,45.65517642474596,-0.07039071196792612,-0.04404971797668559,-0.026340993991240534,3.224895598982556,2.7341044010174436,2.9795,26.666666666666686,19.99999999999996,40.000000000000135,13.004400144520151,58179768,3.0625,2.9450000000000003,0.12588528612653616,0.1178,1.9064003999999999,2.4589,3.0113996,4.8,0.25092752434851406,57.67262542298146
2022-01-04,2.95,3.12,2.81,3.05,1631480,2.9865000000000004,2.9817181275934943,3.1373999999999995,2.952495758919717,2.460793,2.495733098845993,51.520985126700275,-0.05496131718206421,-0.04623203781776132,-0.008729279364302886,3.2315530554798446,2.741446944520156,2.9865000000000004,59.999999999999964,31.228070175438546,117.5438596491228,12.430294070960093,59811248,3.0625,3.045,0.1257095650173213,0.1178,1.9064003999999999,2.4589,3.0113996,4.8,0.2551469868950488,64.73670520777524
2022-01-05,3.02,3.04,2.74,2.75,1188008,2.963,2.9596497344893518,3.1368,2.944554748766003,2.461893,2.4982631177629484,43.87156098807605,-0.0661780441483315,-0.05022123908387536,-0.015956805064456146,3.204089195112529,2.721910804887471,2.963,10.000000000000007,32.2222222222222,-34.44444444444438,11.602258628172498,58623240,3.0625,3.085,0.12367614755354439,0.1178,1.9064003999999999,2.4589,3.0113996,4.8,0.2590650592596881,54.911012052970186
2022-01-06,2.78,2.87,2.75,2.82,735118,2.945,2.9463497597760804,3.1354,2.939670248814395,2.4645930000000003,2.501464479775257,45.89030449188642,-0.06862786676693533,-0.053902564620487356,-0.014725302146447974,3.171936114358219,2.7180638856417807,2.945,26.530612244897927,32.17687074829928,15.238095238095227,10.833368574155447,59358358,3.04,3.09465,0.11641577031892686,0.1178,1.9064003999999999,2.4589,3.0113996,4.8,0.24913184074113895,47.5185995698986
2022-01-07,2.78,2.84,2.7,2.72,822385,2.93,2.9247926397974062,3.1286,2.931055729253046,2.467018,2.5036389625635636,43.484190435113874,-0.077742367487871,-0.05867052519396408,-0.019071842293906918,3.1741311123146874,2.685868887685313,2.93,6.122448979591884,14.217687074829918,-10.068027210884182,10.429665515774369,58535973,3.003425,3.205,0.12523661815266912,0.1178,1.9064003999999999,2.4589,3.0113996,4.8,0.241336709259629,49.06170960216765
2022-01-10,2.69,2.735,2.45,2.5,1255434,2.9015,2.884336197911939,3.1192,2.9141515830078286,2.468018,2.5036027539808416,38.679322122987195,-0.10154726272520964,-0.0672458727002132,-0.034301390024996437,3.2005167219404385,2.6024832780595615,2.9015,6.8493150684931265,13.167458764327625,-5.7869723231758705,11.34739666669151,57280539,2.8625000000000003,3.13,0.15339234181117803,0.1178,1.9064003999999999,2.4589,3.0113996,4.8,0.24445551574108407,49.69669716067325
