,open,high,low,close,volume,sma_20,ema_20,sma_50,ema_50,sma_200,ema_200,rsi,macd,macd_signal,macd_diff,bb_upper,bb_lower,bb_middle,stoch_k,stoch_d,stoch_j,adx,obv,ichimoku_a,ichimoku_b,rolling_std,fibo_0,fibo_0.382,fibo_0.5,fibo_0.618,fibo_1,atr,mfi
2002-04-08,33.48,34.8,33.43,34.8,74950700,36.31,35.85438584264109,36.3898,36.59164747830854,37.93015,40.85106230117552,41.58847297340253,-0.5363822589681959,-0.3306961362954267,-0.2056861226727692,38.57758020802682,34.04241979197318,36.31,30.786516853932508,16.318154147218245,59.72324226736103,24.63636692764477,135945400,35.565,36.125,1.1632441025261346,20.06,218.49372000000002,279.79,341.08628000000004,539.52,1.217753585173041,33.2296949806713
2002-04-09,34.78,34.98,33.5,33.59,80910200,36.063,35.638730048103845,36.285,36.47393581249252,37.8851,40.77881292504442,35.81828541046147,-0.6489777215642434,-0.39435245334919006,-0.2546252682150533,38.385043065887196,33.74095693411281,36.063,4.312668463611958,13.384125602302035,-13.830245813768196,25.88921790970495,55035200,35.565,36.125,1.1911829591048508,20.06,218.49372000000002,279.79,341.08628000000004,539.52,1.236485471946395,26.899225186437036
2002-04-10,33.76,34.25,33.13,33.84,85748700,35.855000000000004,35.46742242447491,36.1808,36.37064421200262,37.844150000000006,40.70977001036736,37.74032842623166,-0.7098547623837845,-0.457452915156109,-0.25240184722767556,38.19097517106554,33.51902482893447,35.855000000000004,17.70573566084791,17.60164032613079,17.913926330282152,27.314552252093836,140783900,35.5875,36.075,1.198329978260827,20.06,218.49372000000002,279.79,341.08628000000004,539.52,1.2281650810930809,26.448543716045478
2002-04-11,33.66,33.85,32.89,33.0,90665600,35.650999999999996,35.23242981262016,36.081199999999995,36.238462086041736,37.80005,40.633055880910966,34.05055312085713,-0.8164694836824609,-0.5292562288613794,-0.2872132548210815,38.22401301975612,33.07798698024387,35.650999999999996,2.588235294117634,8.202213139525835,-8.639720396698769,28.802197731192017,50118300,35.4675,36.075,1.3199278289515166,20.06,218.49372000000002,279.79,341.08628000000004,539.52,1.209010432443575,18.049027057974783
2002-04-12,33.33,33.8,32.95,33.52,78360100,35.483999999999995,35.06934125903729,35.9862,36.131855729726375,37.7538,40.562279205479015,38.086001864150326,-0.8492135589599741,-0.5932476948810983,-0.2559658640788758,38.15322011078786,32.814779889212126,35.483999999999995,15.710723192020021,12.001564715661855,23.129040144736354,30.183582818926038,128478400,35.28,36.075,1.369281025309346,20.06,218.49372000000002,279.79,341.08628000000004,539.52,1.1833668301261764,19.009924962699685
2002-04-15,33.8,33.96,33.2,33.79,69306800,35.312,34.94749923436707,35.891799999999996,36.040018250129265,37.705999999999996,40.49489334273793,40.13434869203651,-0.8436516400581979,-0.6433284839165182,-0.20032315614167973,37.9521939322395,32.67180606776049,35.312,22.44389027431419,13.580949586817283,40.169771649308004,31.130209241488476,197785200,35.105000000000004,35.965,1.3543909098921552,20.06,218.49372000000002,279.79,341.08628000000004,539.52,1.1531263422600209,25.591896422142767
2002-04-16,34.43,35.22,34.42,35.2,72064700,35.2,34.97154692633212,35.833,36.007076357967335,37.665749999999996,40.44220783684004,49.52564336510756,-0.7172011151060005,-0.6581030101544146,-0.05909810495158585,37.65301447199853,32.746985528001474,35.2,57.60598503740657,31.92019950124693,108.97755610972584,29.835093675219692,269849900,35.0475,35.965,1.2583698728110435,20.06,218.49372000000002,279.79,341.08628000000004,539.52,1.1729030320985907,32.95575707501884
2002-04-17,35.4,35.5,34.45,35.02,69130100,35.08200000000001,34.97616150477668,35.795,35.9683674811843,37.624050000000004,40.38825552005556,48.48008282387713,-0.6243159332761437,-0.6513455947787605,0.027029661502616875,37.32199642853157,32.842003571468446,35.08200000000001,53.11720698254373,44.3890274314215,70.57356608478817,28.24240316243675,200719800,34.82,35.965,1.149093922210722,20.06,218.49372000000002,279.79,341.08628000000004,539.52,1.1641242440915482,39.37150659875215
2002-04-18,34.79,35.15,34.0,34.35,91086100,34.9965,34.916527075750324,35.7558,35.90490208976531,37.57825,40.32817337557739,44.697493360804714,-0.5978752246256747,-0.6406515207481434,0.04277629612246869,37.21104532575743,32.78195467424256,34.9965,36.40897755610977,49.04405652535336,11.138819617622588,27.273278154811987,109633700,34.805,35.965,1.136037781969247,20.06,218.49372000000002,279.79,341.08628000000004,539.52,1.1631153695135805,32.70176336352753
2002-04-19,35.05,35.06,34.38,34.46,62286800,34.8685,34.87304830663125,35.723800000000004,35.84823926271569,37.5316,40.269783590745774,45.45002194578096,-0.5615712480519406,-0.6248354662089028,0.06326421815696226,36.88774020359986,32.84925979640013,34.8685,48.159509202454025,45.89523124703584,52.688065113290406,26.37337636201756,171920500,34.805,35.965,1.0358483682767405,20.06,218.49372000000002,279.79,341.08628000000004,539.52,1.1307499859768961,31.96684830210485
2002-04-22,34.01,34.01,33.25,33.59,64625600,34.714000000000006,34.75085322980922,35.6918,35.75968086025625,37.477799999999995,40.20331808238014,40.729417270681374,-0.5961299986217838,-0.619094372691479,0.022964374069695204,36.62513997389881,32.8028600261012,34.714000000000006,26.819923371647626,37.129470043403806,6.2008300281352575,26.656374850190428,107294900,34.805,35.965,0.9803941205123813,20.06,218.49372000000002,279.79,341.08628000000004,539.52,1.1364107012642608,32.46765614686585
2002-04-23,33.59,33.94,32.7,33.01,73070300,34.5865,34.58505768411311,35.6286,35.65185023828542,37.41435,40.13174277807786,37.90303472424128,-0.6626802448104527,-0.6278115471152739,-0.03486869769517886,36.59274300617693,32.58025699382307,34.5865,11.07142857142841,28.683620381843355,-24.152955049401484,27.355870348657735,34224600,34.71,35.945,1.0291809466798882,20.06,218.49372000000002,279.79,341.08628000000004,539.52,1.143809936888242,32.97280003683845
