,open,high,low,close,volume
2024-03-08,1.5200,1.5700,1.5000,1.5400,73608
2024-03-11,1.4900,1.5500,1.4500,1.5100,100861
2024-03-12,1.5600,1.5600,1.4700,1.5100,65358
2024-03-13,1.5100,1.5200,1.4300,1.4700,114022
2024-03-14,1.4800,1.4880,1.3900,1.4300,90552
2024-03-15,1.4600,1.4600,1.3200,1.3200,88905
2024-03-18,1.2900,1.4000,1.2600,1.3300,89355
2024-03-19,1.3500,1.6000,1.2900,1.5300,216472
2024-03-20,1.5700,1.7000,1.5000,1.6800,201732
2024-03-21,1.6600,1.7954,1.6200,1.6900,152242
2024-03-22,1.7000,1.7500,1.5600,1.6100,93527
2024-03-25,1.6300,1.6300,1.5100,1.5800,35636
2024-03-26,1.5600,1.6000,1.4800,1.4800,82679
2024-03-27,1.5100,1.5399,1.4300,1.4800,70310
2024-03-28,1.5200,1.5200,1.3800,1.4200,112734
2024-04-01,1.4800,1.4800,1.3500,1.4300,108827
2024-04-02,1.4300,1.5300,1.3900,1.5200,148345
2024-04-03,1.5100,1.7500,1.5100,1.7500,226808
2024-04-04,1.7500,2.0500,1.6300,1.6700,539898
2024-04-05,1.6800,1.8000,1.6200,1.7500,149509
2024-04-08,1.8900,1.9900,1.8500,1.9800,282272
2024-04-09,1.9504,1.9830,1.7700,1.7900,173165
2024-04-10,1.7700,1.9900,1.7100,1.9100,196621
2024-04-11,1.8900,1.9500,1.7300,1.7800,119912
2024-04-12,1.8500,1.8500,1.6700,1.7200,295827
2024-04-15,1.7400,1.8200,1.6300,1.6600,104597
2024-04-16,1.6200,1.6300,1.4700,1.5300,115177
2024-04-17,1.5400,1.6000,1.4100,1.4200,121669
2024-04-18,1.4800,1.4900,1.3000,1.3400,176954
2024-04-19,1.3500,1.3900,1.2600,1.3100,150207
2024-04-22,1.3100,1.3299,1.1600,1.2300,197348
2024-04-23,1.2500,1.2600,1.1700,1.2100,127514
2024-04-24,1.2200,1.2300,1.1700,1.1800,75113
2024-04-25,1.1600,1.2800,1.1600,1.2400,118984
2024-04-26,1.2200,1.2900,1.2000,1.2500,76596
2024-04-29,1.2700,1.3900,1.2600,1.3700,155893
2024-04-30,1.3400,1.3899,1.3000,1.3500,151745
2024-05-01,1.3400,1.4200,1.3300,1.3800,114465
2024-05-02,1.3800,1.4000,1.3300,1.3400,159334
2024-05-03,1.3500,1.3890,1.3100,1.3200,121561
2024-05-06,1.3500,1.3500,1.2900,1.3000,115341
2024-05-07,1.3200,1.3390,1.2400,1.2900,76467
2024-05-08,1.3500,1.3500,1.2700,1.2900,136877
2024-05-09,1.3400,1.5000,1.3200,1.3500,273919
2024-05-10,1.3400,1.4200,1.3400,1.3700,211962
2024-05-13,1.3700,1.3999,1.2900,1.3400,156127
2024-05-14,1.3200,1.3799,1.3000,1.3500,141527
2024-05-15,1.3900,1.3900,1.3100,1.3300,111853
2024-05-16,1.3000,1.3500,1.2800,1.3150,223819
2024-05-17,1.3000,1.3488,1.2700,1.2850,138127
2024-05-20,1.2700,1.3000,1.2000,1.2300,423092
2024-05-21,1.2400,1.2400,1.1500,1.1900,165951
2024-05-22,1.2200,1.2200,1.1600,1.1900,94186
2024-05-23,1.2200,1.2200,1.1100,1.1600,154469
2024-05-24,1.1600,1.1900,1.1000,1.1350,171192
2024-05-28,1.1200,1.1600,1.1000,1.1100,81102
2024-05-29,1.1000,1.1400,1.0700,1.0899,122135
2024-05-30,1.0900,1.1300,1.0700,1.1100,77042
2024-05-31,1.1200,1.1300,1.1100,1.1300,48495
2024-06-03,1.1300,1.1799,1.0500,1.1600,103649
2024-06-04,1.1800,1.1800,1.0800,1.0850,115595
2024-06-05,1.1000,1.1800,1.1000,1.1500,129767
2024-06-06,1.1700,1.1900,1.1400,1.1700,224286
2024-06-07,1.1600,1.3800,1.1600,1.2900,3469896
2024-06-10,1.3700,1.4500,1.2800,1.3200,3668390
2024-06-11,1.3500,1.3900,1.2800,1.2900,1018285
2024-06-12,1.3000,1.3200,1.2300,1.2700,696897
2024-06-13,1.2700,1.3200,1.1600,1.3200,394405
2024-06-14,1.3200,1.3500,1.2500,1.2900,270996
2024-06-17,1.2900,1.3000,1.2500,1.2700,98151
2024-06-18,1.2400,1.2800,1.2300,1.2300,107683
2024-06-20,1.2200,1.2800,1.2100,1.2400,125004
2024-06-21,1.2600,1.2600,1.1700,1.1700,181434
2024-06-24,1.1600,1.2622,1.1600,1.2200,152896
2024-06-25,1.2200,1.3300,1.2200,1.2800,102065
2024-06-26,1.2800,1.4000,1.2800,1.2900,229010
2024-06-27,1.2800,1.3500,1.2800,1.3300,86702
2024-06-28,1.3500,1.3700,1.2600,1.3100,156932
2024-07-01,1.3000,1.3300,1.2200,1.2200,183687
2024-07-02,1.2500,1.2670,1.1800,1.1800,229839
2024-07-03,1.2000,1.2700,1.1850,1.2500,59668
2024-07-05,1.2500,1.3200,1.2300,1.3200,94501
2024-07-08,1.3200,1.3400,1.2700,1.2800,196598
2024-07-09,1.3000,1.3100,1.2500,1.2900,93050
2024-07-10,1.2900,1.3060,1.1800,1.2000,296304
2024-07-11,1.2000,1.2400,1.1600,1.1700,251790
2024-07-12,1.2200,1.2200,1.1400,1.1500,343601
2024-07-15,1.1600,1.1701,1.0800,1.1400,315239
2024-07-16,1.1400,1.2000,1.1200,1.1900,197148
2024-07-17,1.1900,1.2800,1.1600,1.2800,242333
2024-07-18,1.2900,1.5000,1.1900,1.2000,503722
2024-07-19,1.2300,1.4900,1.2000,1.4700,7016258
2024-07-22,1.8900,2.5900,1.3100,1.3700,100111646
2024-07-23,1.2400,1.3000,1.1300,1.1700,8337395
2024-07-24,1.1300,1.2000,1.0800,1.1400,2823318
2024-07-25,1.1500,1.2300,1.0800,1.1300,3710136
2024-07-26,1.2000,1.3900,1.1700,1.2500,12183076
2024-07-29,1.2500,1.6999,1.1800,1.5800,17989910
2024-07-30,1.7700,1.8800,1.4400,1.5200,18459938
2024-07-31,1.4700,1.5700,1.3801,1.4900,5687744
2024-08-01,1.4800,1.6000,1.3454,1.3800,3202495
2024-08-02,1.3200,1.4700,1.2600,1.4600,3254471
2024-08-05,1.4900,1.5296,1.3100,1.4200,4504255
2024-08-06,1.3600,1.3700,0.3022,0.3700,55999074
2024-08-07,0.6400,0.7280,0.5413,0.6184,188115395
2024-08-08,0.5331,0.5931,0.4650,0.5800,17229611
2024-08-09,0.5520,0.6100,0.5321,0.5421,6241919
2024-08-12,0.5592,0.5592,0.4836,0.4914,4761074
2024-08-13,0.4945,0.5081,0.4581,0.4725,3903919
2024-08-14,0.5036,0.5255,0.4720,0.4750,5485106
2024-08-15,0.4819,0.6500,0.4800,0.5925,31989664
2024-08-16,0.5923,0.8400,0.5600,0.7525,22741702
2024-08-19,0.8000,0.9500,0.7709,0.9059,20441444
2024-08-20,1.0500,1.6600,1.0300,1.3200,112000826
2024-08-21,1.3500,1.4900,1.1900,1.2900,29540162
2024-08-22,1.3100,1.3300,1.0601,1.2500,14901377
2024-08-23,1.2300,1.4100,1.1800,1.3800,9673654
2024-08-26,1.7100,2.0400,1.5100,1.6400,57541275
2024-08-27,1.6000,1.7100,1.4300,1.5800,13249048
2024-08-28,1.5500,1.5700,1.4200,1.4500,7370297
2024-08-29,1.4700,1.5800,1.3200,1.4500,8473662
2024-08-30,1.3400,1.4400,1.2300,1.2500,9598577
2024-09-03,1.2900,1.3700,1.2500,1.2700,5045116
2024-09-04,1.2300,1.2300,0.9600,1.0400,10512791
2024-09-05,1.0200,1.2200,1.0100,1.1300,6327309
2024-09-06,1.1100,1.1400,1.0100,1.0800,5288307
2024-09-09,1.0700,1.1600,1.0200,1.1100,3593005
2024-09-10,1.0900,1.1400,0.9800,1.0400,5277788
2024-09-11,1.0000,1.0700,0.9100,1.0300,5671804
2024-09-12,1.0200,1.0500,0.9661,1.0200,3176237
2024-09-13,1.0100,1.0300,0.9102,0.9360,5523775
2024-09-16,0.9325,0.9400,0.8435,0.9139,3341773
2024-09-17,0.9100,0.9900,0.8810,0.8988,4090436
2024-09-18,0.9072,0.9109,0.8428,0.8457,3230035
2024-09-19,0.8770,0.9498,0.8493,0.9225,4253740
2024-09-20,0.9800,1.0000,0.7404,0.7662,21421532
2024-09-23,0.7500,1.0000,0.6600,0.7300,27994576
2024-09-24,0.7233,0.8059,0.7225,0.7942,6679601
2024-09-25,0.7893,0.8790,0.7873,0.8335,5501690
2024-09-26,0.8800,0.9100,0.8304,0.8543,4629478
2024-09-27,0.8498,0.9370,0.8300,0.9061,5750480
2024-09-30,0.9246,0.9287,0.8301,0.8390,3853221
2024-10-01,0.8300,0.8487,0.7655,0.7720,2933172
2024-10-02,0.7720,0.8000,0.7309,0.7397,4207436
2024-10-03,0.7400,0.7459,0.6817,0.6935,3927672
2024-10-04,0.7000,0.7182,0.6749,0.7171,2905380
2024-10-07,0.7200,0.7250,0.6875,0.6970,3088571
2024-10-08,0.7000,0.7200,0.6200,0.6248,5724911
2024-10-09,0.6400,0.7300,0.6000,0.7099,6058443
2024-10-10,0.7200,0.7300,0.6900,0.6911,2785967
2024-10-11,0.7000,0.7030,0.6750,0.6845,1319286
2024-10-14,0.6929,0.7694,0.6650,0.6971,4517356
2024-10-15,0.7005,0.7490,0.6600,0.7152,3199944
2024-10-16,0.7157,0.7463,0.7000,0.7073,2465993
2024-10-17,0.7201,0.7299,0.6900,0.7122,2206701
2024-10-18,0.7123,0.7800,0.6959,0.7250,5199687
2024-10-21,0.7250,0.7493,0.7057,0.7200,3179169
2024-10-22,0.7230,0.7247,0.6580,0.6683,4299391
2024-10-23,0.6700,0.6702,0.6077,0.6275,3728953
2024-10-24,0.6300,0.6440,0.6103,0.6200,2617071
2024-10-25,0.6223,0.6610,0.6130,0.6301,2656525
2024-10-28,0.6390,0.7610,0.6350,0.7496,5955956
2024-10-29,0.7560,0.7575,0.6960,0.7399,2138783
2024-10-30,0.7320,0.7332,0.7005,0.7074,1708385
2024-10-31,0.7090,0.7128,0.6550,0.6610,1576766
2024-11-01,0.6400,0.6424,0.5805,0.6231,4976883
2024-11-04,0.6240,0.6867,0.6198,0.6460,1708483
2024-11-05,0.6437,0.6498,0.6031,0.6083,2138692
2024-11-06,0.6153,0.6174,0.5349,0.5719,3127420
2024-11-07,0.5706,0.6293,0.5620,0.6212,2135456
2024-11-08,0.6200,0.6250,0.5860,0.6176,1970868
2024-11-11,0.6184,0.6595,0.6070,0.6431,1595133
2024-11-12,0.6296,0.6344,0.5911,0.6096,1050612
2024-11-13,0.6037,0.6180,0.5930,0.6060,1008839
2024-11-14,0.6016,0.6016,0.5760,0.5852,1232111
2024-11-15,0.5884,0.5964,0.5201,0.5650,2189305
2024-11-18,0.5598,0.5677,0.5376,0.5522,1415526
2024-11-19,0.5512,0.5850,0.5471,0.5700,1509270
2024-11-20,0.5701,0.5713,0.5271,0.5304,1395955
2024-11-21,0.5400,0.5900,0.5222,0.5725,3630797
2024-11-22,0.5454,0.6339,0.5454,0.6179,2676253
2024-11-25,0.6299,0.6496,0.6010,0.6328,2080506
2024-11-26,0.6328,0.6328,0.5925,0.6061,947728
2024-11-27,0.6184,0.6640,0.6000,0.6606,1710388
2024-11-29,0.6670,0.7800,0.6640,0.7400,4202854
2024-12-02,0.7400,0.8250,0.6700,0.6797,5983938
2024-12-03,0.6700,0.6770,0.6050,0.6740,2458446
2024-12-04,0.7283,0.8300,0.7100,0.8024,7223052
2024-12-05,0.8100,0.8487,0.7300,0.7375,5069218
2024-12-06,0.7700,0.8358,0.7517,0.8058,3140636
2024-12-09,0.8450,1.0500,0.8400,0.9499,11578918
2024-12-10,0.9300,1.0600,0.8559,0.8658,10135481
2024-12-11,0.9100,0.9764,0.8074,0.8445,5650908
2024-12-12,0.8500,0.8967,0.7302,0.7499,5135285
2024-12-13,0.7531,0.8585,0.7253,0.8453,5612296
2024-12-16,0.9005,1.0700,0.8700,0.9714,15219273
2024-12-17,1.1000,1.4300,1.0800,1.2300,35480095
2024-12-18,1.4900,1.6800,1.1200,1.2400,38431770
2024-12-19,1.4900,1.5400,1.1300,1.1500,24071081
2024-12-20,1.1200,1.3900,1.0700,1.2700,15077244
2024-12-23,1.3700,1.9750,1.3600,1.9600,46858310
2024-12-24,2.1050,2.3099,1.7400,1.9500,27251452
2024-12-26,2.1100,3.1800,2.1100,2.6700,52327948
2024-12-27,2.9000,3.5000,2.5300,2.9000,42237984
2024-12-30,2.8300,3.7700,2.3800,3.4900,37516139
2024-12-31,3.0700,3.2600,2.4300,2.7000,25062567
2025-01-02,2.8300,2.9800,2.3600,2.4100,18017828
2025-01-03,2.4750,4.1600,2.4200,4.0900,66961420
2025-01-06,4.8300,5.2000,3.8700,4.1100,77063036
2025-01-07,3.9800,4.6000,3.7101,3.8700,37084139
2025-01-08,3.5200,3.5200,2.8000,3.1600,32719959
2025-01-10,3.1100,3.5800,2.6900,2.8100,23188155
2025-01-13,2.5000,2.5834,1.9700,2.1200,25691539
2025-01-14,2.3000,3.2600,2.3000,2.6000,56418262
2025-01-15,2.9500,3.1600,2.6700,2.8700,31936093
2025-01-16,2.7600,3.4800,2.6002,3.2900,37159489
2025-01-17,3.3300,3.3400,2.9300,3.1000,18686242
2025-01-21,3.1500,3.3350,2.9100,3.1200,13299062
2025-01-22,3.2100,3.9000,3.0800,3.2300,38075262
2025-01-23,3.2200,3.6792,3.1200,3.4500,21188748
2025-01-24,3.5500,3.8400,3.2300,3.3100,25538985
2025-01-27,3.0000,3.1900,2.7300,2.8700,13932296
2025-01-28,2.9000,2.9700,2.5400,2.7600,10871356
2025-01-29,2.7202,2.7300,2.5000,2.5700,8453185
2025-01-30,2.5700,2.6200,2.3513,2.4200,12269074
2025-01-31,2.5800,2.7600,2.3200,2.4800,20311910
2025-02-03,2.1600,2.4000,2.1000,2.3600,10009437
2025-02-04,2.4200,2.5550,2.4000,2.4600,6251134
2025-02-05,2.3800,2.4000,2.2350,2.3600,8355795
2025-02-06,2.4800,2.9600,2.4600,2.8500,27507991
2025-02-07,2.8200,3.2700,2.7000,3.1400,29316001
2025-02-10,2.9800,3.4100,2.8600,3.0100,31203075
2025-02-11,2.9700,3.0300,2.7000,2.7100,13818340
2025-02-12,2.6100,2.8000,2.6000,2.6400,10871658
2025-02-13,2.8000,3.1200,2.6675,3.0400,22467489
2025-02-14,2.8750,2.9500,2.6700,2.7500,16051814
2025-02-18,2.8000,2.8400,2.5000,2.5600,13829718
2025-02-19,2.6200,2.6900,2.5300,2.5500,8090634
2025-02-20,2.5000,2.5200,2.3500,2.4700,7748633
2025-02-21,2.4800,2.5700,2.1650,2.2150,11376653
2025-02-24,2.2200,2.2500,1.8500,1.8800,11587843
2025-02-25,1.8050,1.9100,1.6150,1.7200,10794793
2025-02-26,1.7700,2.0900,1.7700,2.0300,9268892
2025-02-27,2.0400,2.1400,1.8201,1.9000,9302238
2025-02-28,1.8300,1.9850,1.8200,1.8800,4955001
2025-03-03,1.9100,1.9300,1.6900,1.7100,5938979
2025-03-04,1.6200,1.6991,1.5300,1.6400,6649169
2025-03-05,1.6000,1.7100,1.5800,1.6900,3734388
2025-03-06,1.6800,1.6868,1.5350,1.5600,5850576
2025-03-07,1.5800,1.6200,1.4600,1.5600,5092633
2025-03-10,1.5400,1.5500,1.3700,1.4300,5524150
2025-03-11,1.4300,1.6800,1.4100,1.6500,8572117
2025-03-12,1.7200,1.7700,1.5600,1.6300,6887097
2025-03-13,1.6500,1.7800,1.6200,1.7200,6417733
2025-03-14,1.7700,1.8700,1.6700,1.6900,10218391
2025-03-17,1.7300,2.3000,1.7200,2.2400,17531476
2025-03-18,2.0900,2.1800,1.8700,1.9050,11043063
2025-03-19,2.1000,2.2900,2.0000,2.1300,15731290
2025-03-20,2.1200,2.4400,2.0300,2.1400,15806824
2025-03-21,2.1000,2.3200,2.0307,2.2600,11642958
2025-03-24,2.4100,2.6500,2.3450,2.6000,16271955
2025-03-25,2.5600,2.6380,2.4400,2.5000,8451668
2025-03-26,2.4600,2.6250,2.2000,2.3200,11955826
2025-03-27,2.2400,2.2450,2.0600,2.1900,10495531
2025-03-28,2.1200,2.1477,1.8500,1.9000,7702001
2025-03-31,1.7900,2.0700,1.7600,1.9800,7067601
2025-04-01,1.9800,2.1400,1.9200,2.0300,7826702
2025-04-02,1.9600,2.0200,1.8700,1.8900,6741518
2025-04-03,1.7300,2.0500,1.7200,1.9800,9045889
2025-04-04,1.8800,1.9300,1.7300,1.8900,5624162
2025-04-07,1.7250,2.0300,1.7100,1.9200,8077249
2025-04-08,2.0200,2.0900,1.7000,1.7400,7466879
2025-04-09,1.7800,1.9500,1.6900,1.9100,6686230
2025-04-10,1.9200,1.9500,1.7750,1.7900,3809317
2025-04-11,1.9000,1.9900,1.8400,1.9600,5258032
2025-04-14,2.0100,2.1700,1.9600,2.0000,7113894
2025-04-15,1.9800,2.0699,1.9300,2.0000,3276935
2025-04-16,1.9500,2.0600,1.8400,1.8900,3481815
2025-04-17,1.9000,1.9400,1.8700,1.9200,1904869
2025-04-21,1.8500,1.8590,1.7600,1.8200,3403334
2025-04-22,1.8500,1.8700,1.7900,1.8100,2625964
