,open,high,low,close,volume
2022-08-25,1.5200,1.5500,1.5000,1.5500,91799
2022-08-26,1.5400,1.5400,1.4500,1.4700,156680
2022-08-29,1.5000,1.5499,1.4501,1.5000,147840
2022-08-30,1.5300,1.5300,1.4500,1.4800,87153
2022-08-31,1.4800,1.5000,1.4100,1.4500,166254
2022-09-01,1.4200,1.4500,1.3800,1.4000,151053
2022-09-02,1.4900,1.4900,1.3600,1.3800,166787
2022-09-06,1.3900,1.4200,1.3100,1.3400,104121
2022-09-07,1.3200,1.4500,1.3200,1.4500,63048
2022-09-08,1.4700,1.6500,1.4200,1.5800,532947
2022-09-09,1.5900,1.5999,1.4600,1.4700,276121
2022-09-12,1.4700,1.5000,1.4500,1.4700,101764
2022-09-13,1.5100,1.6200,1.4800,1.5200,409543
2022-09-14,1.5400,1.5500,1.4600,1.4600,158478
2022-09-15,1.4700,1.5200,1.4500,1.4900,128303
2022-09-16,1.4600,1.4900,1.4100,1.4100,175246
2022-09-19,1.4400,1.4500,1.3731,1.4500,93279
2022-09-20,1.4200,1.4200,1.3233,1.3900,149533
2022-09-21,1.3700,1.4300,1.3700,1.3700,103042
2022-09-22,1.3600,1.3740,1.2700,1.3500,252286
2022-09-23,1.3000,1.3666,1.2700,1.3100,195067
2022-09-26,1.3100,1.3800,1.3000,1.3200,188859
2022-09-27,1.3300,1.3800,1.3000,1.3100,137290
2022-09-28,1.4000,1.5400,1.3500,1.3600,596489
2022-09-29,1.3800,1.3854,1.3000,1.3100,183772
2022-09-30,1.3000,1.3500,1.2600,1.2800,196770
2022-10-03,1.3500,1.3899,1.2900,1.3300,587246
2022-10-04,1.3500,1.3900,1.3300,1.3400,272593
2022-10-05,1.3900,1.4299,1.3100,1.3700,240460
2022-10-06,1.4100,1.4500,1.3400,1.3400,439771
2022-10-07,1.3300,1.3788,1.2400,1.2400,369923
2022-10-10,1.2500,1.2501,1.1900,1.2100,258894
2022-10-11,1.1700,1.1900,1.0800,1.1200,607712
2022-10-12,1.1300,1.1400,1.0500,1.1100,233613
2022-10-13,1.0700,1.1000,1.0500,1.1000,220577
2022-10-14,1.1500,1.1500,1.0300,1.0700,270733
2022-10-17,1.0900,1.1000,1.0200,1.0600,337036
2022-10-18,1.1200,1.3900,1.0800,1.3200,1953459
2022-10-19,1.4000,1.4100,1.2700,1.2800,729393
2022-10-20,1.3500,1.4200,1.3200,1.3400,883594
2022-10-21,1.4000,1.5700,1.3000,1.5000,1586773
2022-10-24,1.6000,1.8900,1.5500,1.8400,2977378
2022-10-25,1.8900,2.0600,1.8500,1.9900,1912845
2022-10-26,2.1000,2.1900,1.8400,1.9300,1971411
2022-10-27,2.0000,2.2000,1.9300,2.1400,1152016
2022-10-28,2.2200,2.2200,1.9000,1.9000,1184501
2022-10-31,2.0100,2.1200,1.9500,2.0500,738882
2022-11-01,2.1000,2.1190,1.8800,1.9000,713772
2022-11-02,1.8800,1.9000,1.7500,1.7700,579681
2022-11-03,1.8000,1.8600,1.7100,1.8400,872647
2022-11-04,1.8700,1.8754,1.6100,1.6400,879096
2022-11-07,1.7100,1.8000,1.6600,1.7700,600440
2022-11-08,1.7700,1.8096,1.6700,1.7200,462180
2022-11-09,1.7000,1.7103,1.5400,1.5700,493940
2022-11-10,1.5900,1.8400,1.5900,1.8400,726209
2022-11-11,1.8400,1.8460,1.7000,1.8000,518511
2022-11-14,1.7700,1.9000,1.7200,1.8900,370346
2022-11-15,2.0400,2.0500,1.8700,1.9700,575324
2022-11-16,1.9900,1.9900,1.8700,1.9500,297699
2022-11-17,1.8700,1.9400,1.8400,1.9000,173467
2022-11-18,1.8600,1.9600,1.8500,1.9000,285495
2022-11-21,1.8800,1.8900,1.7810,1.8100,324532
2022-11-22,1.7900,1.8200,1.6500,1.7200,495640
2022-11-23,1.7200,1.7800,1.6800,1.7300,187477
2022-11-25,1.7500,1.7800,1.7388,1.7800,70548
2022-11-28,1.7500,1.7600,1.7000,1.7000,168770
2022-11-29,1.6900,1.7300,1.6100,1.6100,211652
2022-11-30,1.6200,1.7200,1.6100,1.7200,229328
2022-12-01,1.8000,1.8100,1.7200,1.7400,262511
2022-12-02,1.7100,1.8100,1.7000,1.7300,250722
2022-12-05,1.7000,1.7800,1.6500,1.6600,255720
2022-12-06,1.6700,1.7500,1.6600,1.6800,235545
2022-12-07,1.6700,1.7100,1.6100,1.6200,362400
2022-12-08,1.6900,1.7000,1.6300,1.6500,438719
2022-12-09,1.6400,1.6700,1.5101,1.5200,389059
2022-12-12,1.5100,1.5200,1.3500,1.3500,678990
2022-12-13,1.4400,1.5500,1.4000,1.4300,472049
2022-12-14,1.4100,1.4447,1.3000,1.3000,474143
2022-12-15,1.3000,1.3700,1.3000,1.3100,247148
2022-12-16,1.2800,1.2900,1.1800,1.2100,662526
2022-12-19,1.1900,1.2500,1.1541,1.1800,497395
2022-12-20,1.2100,1.2400,1.1600,1.1800,507203
2022-12-21,1.1900,1.2700,1.1800,1.2500,306396
2022-12-22,1.2600,1.3000,1.2299,1.2700,408593
2022-12-23,1.2700,1.2754,1.2300,1.2500,209008
2022-12-27,1.2300,1.2500,1.1500,1.1500,242943
2022-12-28,1.1500,1.2550,1.1500,1.2000,429727
2022-12-29,1.2000,1.2800,1.1900,1.2100,342235
2022-12-30,1.1900,1.2310,1.1700,1.2000,226291
2023-01-03,1.1800,1.2549,1.1800,1.2100,301953
2023-01-04,1.2400,1.2400,1.1900,1.2100,150971
2023-01-05,1.1900,1.2400,1.1850,1.2400,266818
2023-01-06,1.2500,1.2700,1.2000,1.2100,318540
2023-01-09,1.2200,1.2600,1.1700,1.1700,295615
2023-01-10,1.1800,1.2000,1.1600,1.1600,298834
2023-01-11,1.1600,1.2300,1.1600,1.2000,542248
2023-01-12,1.1900,1.2750,1.1900,1.2600,266752
2023-01-13,1.2200,1.3400,1.2200,1.3400,271561
2023-01-17,1.3100,1.3450,1.2700,1.2800,300517
2023-01-18,1.2900,1.3500,1.2700,1.2800,245305
2023-01-19,1.2600,1.3200,1.2400,1.2500,245542
2023-01-20,1.2800,1.3300,1.2600,1.3000,218576
2023-01-23,1.3000,1.4136,1.2900,1.2900,869294
2023-01-24,1.2900,1.2900,1.2500,1.2700,242427
2023-01-25,1.2500,1.3350,1.2500,1.3200,220567
2023-01-26,1.3500,1.3500,1.2900,1.3000,149293
2023-01-27,1.2800,1.4500,1.2800,1.3800,943754
2023-01-30,1.3700,1.3700,1.2600,1.2600,258019
2023-01-31,1.2500,1.3100,1.2400,1.2800,172988
2023-02-01,1.2400,1.2700,1.2400,1.2400,294703
2023-02-02,1.2600,1.3100,1.2400,1.2600,579525
2023-02-03,1.2800,1.3100,1.2600,1.2800,253981
2023-02-06,1.2600,1.6800,1.2600,1.3400,2856465
2023-02-07,1.3300,1.3300,1.2000,1.3000,894796
2023-02-08,1.2700,1.3200,1.2600,1.2900,361101
2023-02-09,1.2900,1.2900,1.1800,1.2100,722380
2023-02-10,1.2200,1.2450,1.1800,1.2100,233964
2023-02-13,1.2300,1.2300,1.1500,1.1700,375432
2023-02-14,1.2000,1.2400,1.1800,1.1900,387156
2023-02-15,1.2100,1.2800,1.2000,1.2400,307003
2023-02-16,1.2600,1.2600,1.2100,1.2400,392717
2023-02-17,1.2200,1.2400,1.1800,1.2100,291347
2023-02-21,1.2000,1.2290,1.1600,1.1600,443024
2023-02-22,1.1500,1.2800,1.1500,1.2500,1494879
2023-02-23,1.2400,1.2700,1.1800,1.2200,318198
2023-02-24,1.1800,1.2200,1.1550,1.1900,416971
2023-02-27,1.1800,1.2600,1.1800,1.2400,367683
2023-02-28,1.2300,1.3300,1.1800,1.3100,1318247
2023-03-01,1.3600,1.3800,1.3000,1.3200,912634
2023-03-02,1.2900,1.3238,1.2500,1.3200,592834
2023-03-03,1.3100,1.3200,1.2350,1.2500,670612
2023-03-06,1.2400,1.2500,1.2000,1.2100,359122
2023-03-07,1.2000,1.2600,1.1400,1.1500,1151146
2023-03-08,1.1800,1.1800,1.1300,1.1500,428808
2023-03-09,1.1600,1.1800,1.1100,1.1100,490274
2023-03-10,1.1300,1.1400,1.0800,1.0900,454076
2023-03-13,1.0900,1.1150,1.0200,1.0600,518909
2023-03-14,1.0900,1.1099,1.0500,1.0500,400709
2023-03-15,1.0500,1.0599,0.9400,0.9800,686345
2023-03-16,1.0000,1.0800,0.9953,1.0600,424038
2023-03-17,1.0400,1.0600,0.9800,0.9900,282702
2023-03-20,1.0300,1.0300,0.9152,0.9397,410161
2023-03-21,0.9700,0.9800,0.9000,0.9181,415059
2023-03-22,0.9151,0.9400,0.9007,0.9021,378734
2023-03-23,0.9050,0.9479,0.9000,0.9100,405904
2023-03-24,0.9400,0.9400,0.8155,0.8700,671120
2023-03-27,0.8800,0.8889,0.7600,0.7600,750071
2023-03-28,0.7500,0.7502,0.6611,0.7000,1076213
2023-03-29,0.7224,0.8200,0.7200,0.8005,543581
2023-03-30,0.8200,0.9700,0.8100,0.9200,643570
2023-03-31,0.9641,0.9641,0.8600,0.8773,277224
2023-04-03,0.8700,0.8800,0.8410,0.8585,343647
2023-04-04,0.8700,0.8700,0.8011,0.8200,281167
2023-04-05,0.8111,0.8456,0.7806,0.7943,224949
2023-04-06,0.8000,0.8372,0.8000,0.8200,122648
2023-04-10,0.8250,0.8300,0.7900,0.8198,184867
2023-04-11,0.7899,0.8198,0.7800,0.7945,221732
2023-04-12,0.7945,0.8300,0.7945,0.8190,229423
2023-04-13,0.8000,0.8651,0.8000,0.8598,292239
2023-04-14,0.8300,0.8598,0.8000,0.8200,174153
2023-04-17,0.8117,0.8200,0.7200,0.7300,372769
2023-04-18,0.7808,0.8000,0.7200,0.7200,153374
2023-04-19,0.7300,0.8289,0.7100,0.7400,901758
2023-04-20,0.7371,0.7495,0.6850,0.6961,319246
2023-04-21,0.7000,0.7145,0.6709,0.6709,403107
2023-04-24,0.6900,0.7179,0.6700,0.7050,220441
2023-04-25,0.7200,0.7300,0.6750,0.6900,221346
2023-04-26,0.6800,0.6926,0.6289,0.6449,223875
2023-04-27,0.6500,0.6662,0.6100,0.6200,169377
2023-04-28,0.6200,0.6500,0.6150,0.6500,158958
2023-05-01,0.6500,0.6700,0.6345,0.6500,98170
2023-05-02,0.6500,0.6899,0.6500,0.6800,140313
2023-05-03,0.6833,0.7700,0.6830,0.7600,205258
2023-05-04,0.7600,0.7800,0.7500,0.7799,252777
2023-05-05,0.7800,0.8000,0.7020,0.7442,326860
2023-05-08,0.7160,0.7400,0.6734,0.6734,205334
2023-05-09,0.6734,0.6940,0.6506,0.6935,158459
2023-05-10,0.7200,0.7300,0.6800,0.7000,143347
2023-05-11,0.7194,0.7194,0.6600,0.6722,225395
2023-05-12,0.6867,0.7129,0.6600,0.6650,122999
2023-05-15,0.6840,0.7790,0.6700,0.7700,384151
2023-05-16,0.7200,0.7200,0.6500,0.6602,455115
2023-05-17,0.6900,0.7000,0.6500,0.6502,137535
2023-05-18,0.6700,0.6920,0.6019,0.6158,319341
2023-05-19,0.6200,0.6700,0.5512,0.5785,665740
2023-05-22,0.5900,0.8599,0.5900,0.8223,2092658
2023-05-23,0.8700,0.9450,0.7300,0.7390,1539573
2023-05-24,0.7500,0.7500,0.7000,0.7379,429602
2023-05-25,0.7300,0.7500,0.7120,0.7200,269448
2023-05-26,0.7300,0.7490,0.7200,0.7490,155888
2023-05-30,0.7442,0.7480,0.7190,0.7400,194759
2023-05-31,0.7200,0.7284,0.6700,0.6700,245709
2023-06-01,0.6900,0.7050,0.6800,0.7000,111610
2023-06-02,0.7000,0.7200,0.6501,0.6686,313413
2023-06-05,0.6700,0.6899,0.6600,0.6800,108678
2023-06-06,0.7061,0.7061,0.6711,0.6939,170255
2023-06-07,0.7000,0.7250,0.6900,0.7100,327362
2023-06-08,0.7300,0.7300,0.6701,0.6743,155244
2023-06-09,0.6900,0.7000,0.6551,0.6800,281716
2023-06-12,0.6850,0.7128,0.6700,0.6992,206173
2023-06-13,0.7000,0.7150,0.6850,0.7006,183254
2023-06-14,0.7020,0.7199,0.6856,0.6989,216922
2023-06-15,0.6856,0.7400,0.6800,0.6963,286872
2023-06-16,0.6927,0.7199,0.6830,0.6916,168159
2023-06-20,0.6767,0.6899,0.6600,0.6600,176027
2023-06-21,0.7000,0.7040,0.6668,0.6794,205453
